id_1,id_2,prompt,pred
BFE92DE70CA2,D13D39A7CD7E,Individuality,B
E8DAB90C65F7,1510B46771BE,Working with a group or alone,B
1E122D099A1A,8840BE5A0764,Three-year high school program,B
C85DA87E87CC,19DDF17CA4DC,Working with a group or alone,B
48AC182E4ADC,BC4A0CFD6CAF,Impact of technology,B
AC5A1579A352,F1B4090C8B06,Trying something beyond what you have mastered,B
DB85B6DDB462,C12DEB504856,Influences of character,A
522E27B5F714,0DA397621836,Trying something beyond what you have mastered,B
C93925EDB882,60ED0B48B8F2,Individuality,A
78E8970D0C13,2346C80AF13B,Afterschool homework club,B
B1C410876D33,8C34447FF21C,Success and failure,B
D86C20117DC9,9944BB5157B6,Working with a group or alone,B
876B9CDDC1FC,D371D73ACCC2,Praising student work,B
940EEB1561ED,211699D25472,Trying something beyond what you have mastered,B
450C5438A561,A91334BE97E8,Year-round school,B
D42B99110E5C,DA254A895F0D,Letter to employer,B
6ACB38C6577C,E20DE200FEA8,Praising student work,B
680239A1F605,9C76CF46D791,Career commitment,B
737ACDA3A359,6BDF73E50719,Success and failure,A
09ADB0629CD0,B8D4D1B62526,Distance learning,B
4751F39ECBC5,C78951522AC0,Internships and shadowing,B
01911AC9674D,2175BC2F7C2C,Benefits of a good attitude,B
E501D2D7FC83,0BEB8F7F5A64,First impressions,B
1DFACB5D0C9E,ED185DEBD213,Creative arts requirement,B
682B94FF269B,FCE7BA86AFDF,Learning from the experience of others,B
BC8379B07ED3,83C48C5697AE,Individuality,B
2F3E35DA88B0,F05D3802BC94,Cell phones in classrooms,B
936D63E8CE0B,E4051C85D12E,Success and failure,B
1A8A994EBFDA,4545C3BA65E7,Career commitment,B
A79B40F29DCA,7B0430EDACBA,Positive attitudes,A
770C4294979D,FA11AB7CD13F,Impact of technology,B
AF7DB5739529,DC467256CD82,Impact of technology,A
FFDC4011AC9C,BF5D1465DFFC,Benefits of a problem,B
4000ADB040FE,4D3CF318797A,Impact of technology,B
4BE3F5DCD6C9,41A2385450D9,First impressions,B
BF5E7CD37E4B,F07EB7B6F40E,Imagination,B
CE2EC298670A,B54DBEF87F11,Distance learning,B
B1CA034332A7,6ECBDFDD395D,First impressions,B
9A24CB0724FE,0F19DD8FEEDC,Community service,B
389B7B042C94,1E072DC647AC,Four-day work week,B
D58980F5EC66,9EB7D09C785B,Distance learning,B
ACB54B594BF2,F6194DEBEFA7,Curfews for teenagers,B
C1959178FC53,2567C158F746,Being busy,B
