essay_id,overall,grammar,cohesion,conventions,vocabulary,syntax,phraseology
EBEFF43F46EE,3,3,3,4,3,3,3
E78C1D3328E3,4,3,3,4,4,3,4
3B81809AA132,4,4,4,4,4,4,4
14ED79D68BC4,4,4,4,4,4,4,4
2A426B89E8C5,3,3,Score 4,3,3,3,3
67F6FEDD7677,3,3,3,3,3,3,3
C2DCF6EED519,4,4,4,4,4,4,4
16BE136AB3A7,4,4,3,4,4,4,4
C3D8BAA89C4F,3,3,3,3,3,3,3
4FD2B58768E2,3,3,3,3,3,3,3
6D9728CB8711,4,4,4,4,4,4,4
253108CDC69F,Score 4,3,3,3,3,3,3
19692639977E,4,4,3,4,4,4,4
6ED616EC6B00,3,4,3,4,4,4,4
34D76C62269C,3,3,3,3,3,3,3
9FFDCC21CAA0,4,4,4,4,4,4,4
BC227A70B60E,3,3,3,3,4,3,3
6F63F3BCD18D,4,4,4,4,4,4,4
E2A60C034849,4,4,3,4,4,4,4
D5C7212A31FD,3,3,3,3,3,3,3
80172B0A969C,4,4,4,4,4,4,4
A0B58CDB939A,4,4,3,4,4,4,4
DDD24AF9146F,4,4,3,4,4,4,4
858DFA7A9980,4,4,3,4,4,4,4
109CBA5203BB,3,4,3,4,3,4,4
6AB122D640E1,4,4,4,4,4,4,4
9EBCC1131B13,3,3,3,3,3,3,3
9551DA943B01,4,4,3,4,4,4,4
9CB6D9467227,4,4,4,4,4,4,4
B37D0A9D7859,4,4,4,4,4,4,4
AF7DB5739529,3,4,3,3,3,3,3
07A4DAFDE5B7,3,5,3,4,4,3,4
AF6A4C253262,4,4,3,4,4,4,4
269101ABF266,4,4,3,4,4,4,4
CB13841D09DF,4,4,4,4,4,4,4
2E6495FC2C72,4,4,4,4,4,4,4
CB769FAD1A51,4,4,4,4,4,4,4
F48D7BBAF52D,4,4,4,4,4,4,4
593E2802E27C,3,3,3,3,3,3,3
F934542997DC,4,4,4,4,4,4,4
A6745A8EE7AF,4,4,4,4,4,4,4
1A69B2FC1200,Score 4,3,3,3,3,3,3
8311ABD30CC1,Score 4,3,3,3,3,3,3
591B7E3E2B40,4,4,4,4,4,4,4
1D327ADD95AA,4,4,Score 4,4,4,4,4
7B557B2F27CE,4,5,4,4,4,4,4
5086E20438E9,4,4,4,4,4,4,4
D25868F1C5C3,4,4,3,4,4,4,4
F1BB39C5E549,3,3,4,3,4,4,4
471C6119911D,4,4,4,4,4,4,4
10490469631A,4,5,4,4,4,4,4
EC719533AB43,4,4,4,4,4,4,4
4B0F6070B45A,4,4,4,4,4,4,4
A1A83A14B53F,4,5,4,4,4,4,4
BE4764F7BFF1,3,3,3,3,3,3,3
76BC1CB29C1E,3,3,3,3,3,3,3
CA6EBB87D7FF,4,4,4,4,4,4,4
4BE3F5DCD6C9,4,4,4,4,4,4,4
87692B9A8184,3,3,3,3,3,3,3
AA7B4CC7EE1B,3,3,3,3,3,3,3
B46E31AA2653,4,4,4,4,4,4,4
60EAF2CDEB66,3,3,3,3,3,3,3
3F4A9ACFEDFB,3,3,3,3,3,3,3
AA9429AD1038,3,3,3,4,4,4,4
759E0659FF69,3,4,3,3,4,3,3
681B9CD21B07,3,3,3,4,4,4,3
ABB6A19842F1,3,4,3,4,3,3,4
6B20E9C115AF,3,3,3,4,3,4,4
ED9C6EDC5601,3,3,3,3,3,3,3
C1D243FAE6FF,3,3,3,3,3,3,3
36311D8E825C,4,4,3,4,4,4,4
0ACB3F8B9DF8,4,4,3,4,4,4,4
F12FEB0FE5B6,4,4,4,4,4,4,4
CEACA9EC34F8,4,4,4,4,4,4,4
1B981E7E59C5,4,4,4,4,4,4,4
73268F15F18B,4,4,4,4,4,4,4
38CADC812CBA,4,4,4,4,4,4,4
9D3EE733AE65,3,3,3,3,3,3,3
9F979C691167,3,3,3,3,3,3,3
26650408983,3,3,3,3,3,3,3
D8284C3B2D2C,4,4,4,4,4,4,4
857574FE9711,4,4,3,4,4,4,4
24DAF94F0A18,3,4,3,4,3,3,4
4C3AFB55C4F7,4,4,3,4,4,4,4
C5784E7398EC,3,3,3,3,3,3,3
1703E46B4DC9,4,3,3,4,4,4,4
AFBC394080FC,3,4,3,4,4,4,4
7A2F7AAFA6C8,3,3,3,3,3,3,3
8BF621177FB3,4,4,4,4,4,4,4
8399BA1DF44B,3,4,3,4,4,4,4
13AB4CC7F80F,4,4,4,4,4,4,4
A055576C0F9E,4,4,3,4,4,4,4
AC7AB280A93C,3,3,3,3,3,3,3
702A25E4B218,4,4,4,4,4,4,4
211699D25472,4,4,4,4,4,4,4
CFBD5DD8ECFD,4,4,4,4,4,4,4
134937CE445C,4,4,4,4,4,4,4
17FC8F322225,4,4,4,4,4,4,4
5E3EA4C47C9A,4,3,3,4,4,4,4
22F571F54234,4,4,4,4,4,4,4
BC4A0CFD6CAF,3,4,3,3,3,3,3
CD586C88F4F3,4,3,3,4,4,4,4
3F12BC08B53F,3,3,3,3,3,3,3
DC1271D1294D,4,4,4,4,4,4,4
663149D85F9C,4,4,4,4,4,4,4
4E3FEE69D23E,4,4,3,4,4,4,4
D579D6F26A91,Score 4,3,Score 4,3,3,3,3
B1C43F31DAA7,4,4,4,4,4,4,4
B385E5EE33B9,4,5,4,4,4,4,4
65975436BE5C,3,4,3,4,3,4,4
27DBD975EC8E,Score 4,3,Score 4,Score 4,3,3,3
B0AA5045D915,4,4,4,4,4,4,4
2B63A9B12B5B,3,4,3,4,4,4,3
03FDC60BE33B,4,4,4,4,4,4,4
E22F1FD54169,4,3,4,4,4,4,4
08D8232F2D78,4,4,4,4,4,4,4
0C1EDBE2EEC3,4,4,3,4,4,4,4
0F706EB152E7,3,3,3,4,3,3,4
1F8441914809,3,4,3,4,3,3,4
8650DDFD974B,4,4,3,4,4,4,4
991748F8ED61,3,3,3,3,3,3,3
01D8970208A9,4,4,4,4,4,4,4
F6C88F801A8A,3,3,3,3,3,3,3
