overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
1,1,1,1,1,1,1,7F0B7DDE89B2
3,3,4,4,3,4,4,C7BD62EA392F
1,1,1,1,1,1,1,0A67029FA17C
3,2,4,4,3,4,4,38E03AE14C78
2,1,2,3,2,2,2,B558AFC603D4
2,1,4,3,2,3,4,918C1880FCD8
2,1,1,2,1,1,2,B6E9E12159E3
4,3,5,4,3,4,5,8B155840CA6D
3,2,4,3,2,3,4,BF267B42A2A4
2,1,2,2,1,1,2,56E188D44884
2,1,2,2,2,1,3,29595ADA257B
3,2,4,4,3,4,4,E4C49D70C330
2,1,3,2,1,2,4,3EEB66F3630C
3,2,4,3,2,4,4,C0BC39F655F9
3,2,4,4,3,4,4,253B2D521F14
2,1,3,2,2,2,4,A0C5D3BB735F
3,2,4,3,2,3,4,FBC269A9D3AE
2,1,2,3,2,2,2,41AEF2D0D03E
3,2,4,3,2,4,4,44C1594D0950
3,3,4,4,3,4,4,DE962FEDCD9E
2,1,2,1,1,1,2,40788D50B102
1,1,1,1,1,1,1,17C7C1CAF7E8
2,1,3,3,2,3,3,9E4E221D8419
2,2,3,4,3,2,3,506A69171959
2,2,3,3,2,2,4,4D35A86F4929
2,1,2,3,1,1,2,112B891A4F41
2,1,3,2,2,3,4,71A9098715EB
2,1,3,2,1,2,3,87E3F6FDAA68
2,2,3,4,2,3,4,ADFE2CDB6FF1
2,2,3,2,1,4,3,83FD2977A14D
2,2,3,4,2,2,2,8C5BF0347F87
1,1,1,1,1,1,1,0CFDDC1CF75A
2,1,2,3,2,1,2,3DB503D247B3
2,1,2,3,1,2,2,56AC4BE71C2F
2,1,3,2,2,2,4,85E3C840FCBF
2,1,3,3,2,3,4,1D9F4510A90B
3,4,3,4,2,4,4,74FF4379012C
2,2,3,2,2,2,4,D5202DF530D1
2,1,2,3,2,2,2,642E44E8DD25
2,2,3,3,2,2,3,5E32A7855A7F
2,1,2,3,2,1,3,4032ED0063E4
2,1,3,4,2,3,3,2C9EA803FF3A
3,2,4,3,2,3,4,10DA9316D02D
2,1,1,2,1,1,1,25130AAA9552
3,3,4,4,2,4,4,1151BAA93780
2,1,3,2,1,1,2,63146C2EA477
1,1,1,1,1,1,1,23F0ABEF8370
2,1,2,2,1,2,3,0F9DDF417CDA
1,1,1,1,1,1,1,871097AE113C
3,2,4,4,3,4,4,C27C72D6E208
2,1,3,2,2,2,3,90978A2F8599
2,1,3,2,2,2,3,83FEB27FD31E
2,1,1,2,2,1,1,8B1F8FCC9E56
1,1,1,1,1,1,1,A2BA5F95C077
2,1,3,2,2,2,2,E8C554B25F19
3,2,4,4,3,4,4,9B5E142C63AC
1,1,1,1,1,1,1,8EE0540E163D
4,4,5,5,4,5,5,68C346DDE213
3,2,4,3,2,4,4,D99C71A15BA0
2,1,2,2,1,1,2,14B667544F4E
2,2,3,4,2,2,3,2DA1C5338C78
3,2,4,4,3,4,4,8B1883B7393C
2,2,3,3,2,2,3,5E830B6462DB
3,2,4,4,3,4,4,669A736CF0B4
3,3,4,3,2,3,4,24008FFDB479
2,1,3,3,2,2,4,60623DB5DE7A
2,1,2,3,2,2,2,BD9FE34E4670
2,1,2,3,2,2,3,8C8B11C308CF
2,2,3,2,1,2,2,5EE6F7530113
2,1,3,3,2,2,4,76C2E20AF20E
3,2,4,4,3,4,4,46977B27324C
2,1,2,3,2,2,2,AA03F87A4A75
2,1,3,4,2,3,4,02A7A3AFFBD5
1,1,1,1,1,1,1,907FC59841EC
2,1,2,2,1,2,3,E52BA6E4D7EE
2,1,2,3,1,2,2,E3DBC3B092A7
3,2,4,4,3,4,4,12E3D52345C6
2,2,2,2,2,2,2,51A7C4616A18
2,2,3,4,2,2,3,04FA62C5F269
2,1,1,2,1,1,2,C537E278BAE6
3,1,4,3,2,3,3,34E9C436DECE
2,1,2,3,2,1,2,52D244740799
3,4,4,4,2,4,4,916C937AF222
3,2,4,3,2,4,3,A9A0D8CE21B4
2,2,2,2,2,2,2,219E44AA7948
1,1,1,1,1,1,1,507FAD8DAFB0
2,2,3,3,2,3,4,F5EA98F42452
2,1,2,3,1,2,2,CD506B5747F7
3,2,4,3,2,3,4,7D1825E2F4AD
2,1,2,3,1,2,2,4F5775B0B88D
2,1,2,3,2,1,2,A85F9CF7691D
2,1,2,2,2,2,2,EFB208F9EF60
2,2,3,2,1,2,2,AE6AE119B52F
1,1,1,1,1,1,1,4E8ED336CF7E
2,2,3,3,2,2,3,111443A063CE
2,1,2,2,1,2,3,1B2274161889
3,2,4,3,2,4,4,5C9B1FB411EB
1,1,1,1,1,1,1,9213A16C1A0A
2,1,3,2,2,2,3,FC9DA73D1EA0
2,1,3,4,2,3,4,EBEFF43F46EE
2,1,3,2,1,2,3,E78C1D3328E3
2,2,2,2,2,2,3,3B81809AA132
2,1,3,4,2,2,3,14ED79D68BC4
2,2,2,4,2,2,3,2A426B89E8C5
2,1,1,2,1,1,2,67F6FEDD7677
2,1,3,2,2,2,4,C2DCF6EED519
2,2,3,3,2,2,4,16BE136AB3A7
2,1,3,4,3,2,3,C3D8BAA89C4F
2,1,1,1,1,1,1,4FD2B58768E2
2,2,3,4,2,2,3,6D9728CB8711
2,2,3,2,2,2,3,253108CDC69F
2,1,1,2,1,1,1,19692639977E
1,1,1,1,1,1,1,6ED616EC6B00
2,1,2,2,1,2,2,34D76C62269C
2,1,3,3,2,2,4,9FFDCC21CAA0
3,3,4,3,2,4,4,BC227A70B60E
2,2,3,4,2,2,3,6F63F3BCD18D
2,1,3,2,2,2,3,E2A60C034849
1,1,1,1,1,1,1,D5C7212A31FD
2,1,2,3,2,2,1,80172B0A969C
2,2,3,2,2,2,3,A0B58CDB939A
3,2,4,3,2,4,4,DDD24AF9146F
2,1,2,2,1,1,2,858DFA7A9980
2,2,3,3,2,3,4,109CBA5203BB
2,1,2,3,2,2,3,6AB122D640E1
2,2,2,3,2,2,2,9EBCC1131B13
3,2,4,3,2,3,4,9551DA943B01
2,1,2,3,2,2,2,9CB6D9467227
2,2,3,3,2,3,4,B37D0A9D7859
2,1,3,3,2,2,4,AF7DB5739529
2,1,4,4,3,3,3,07A4DAFDE5B7
3,2,4,3,2,3,4,AF6A4C253262
2,1,3,3,2,3,3,269101ABF266
3,2,4,4,3,3,4,CB13841D09DF
2,1,1,2,1,1,2,2E6495FC2C72
2,2,3,3,2,2,4,CB769FAD1A51
2,2,3,3,2,4,4,F48D7BBAF52D
1,1,1,1,1,1,1,593E2802E27C
2,1,2,3,2,1,2,F934542997DC
2,1,3,3,2,2,4,A6745A8EE7AF
2,1,3,4,2,2,3,1A69B2FC1200
2,1,3,2,2,2,2,8311ABD30CC1
2,1,3,3,2,2,3,591B7E3E2B40
3,2,4,4,3,4,4,1D327ADD95AA
2,1,3,4,2,3,4,7B557B2F27CE
1,1,1,1,1,1,1,5086E20438E9
1,1,1,1,1,1,1,D25868F1C5C3
2,1,3,2,1,2,3,F1BB39C5E549
2,2,3,3,2,4,4,471C6119911D
3,2,4,4,3,4,4,10490469631A
2,1,3,2,1,2,3,EC719533AB43
2,1,3,2,1,2,2,4B0F6070B45A
2,1,2,3,2,1,2,A1A83A14B53F
3,2,4,3,2,3,4,BE4764F7BFF1
2,1,3,4,2,2,3,76BC1CB29C1E
2,1,4,3,3,3,4,CA6EBB87D7FF
1,1,1,1,1,1,1,4BE3F5DCD6C9
2,1,1,2,1,1,1,87692B9A8184
2,2,3,3,2,2,4,AA7B4CC7EE1B
2,1,2,3,2,1,3,B46E31AA2653
2,1,2,2,1,1,2,60EAF2CDEB66
1,1,1,1,1,1,1,3F4A9ACFEDFB
1,1,1,1,1,1,1,AA9429AD1038
1,1,1,1,1,1,1,759E0659FF69
2,1,1,1,1,1,2,681B9CD21B07
3,2,4,4,3,4,4,ABB6A19842F1
3,2,4,4,3,4,4,6B20E9C115AF
2,2,3,2,2,1,2,ED9C6EDC5601
2,1,3,2,1,2,3,C1D243FAE6FF
2,2,3,2,2,2,3,36311D8E825C
2,1,2,2,1,2,3,0ACB3F8B9DF8
2,1,3,2,2,2,3,F12FEB0FE5B6
2,1,3,2,2,1,2,CEACA9EC34F8
2,2,3,3,2,3,4,1B981E7E59C5
3,2,4,4,3,4,4,73268F15F18B
2,1,3,3,2,2,4,38CADC812CBA
3,2,4,3,3,4,4,9D3EE733AE65
1,1,1,1,1,1,1,9F979C691167
2,1,3,2,2,2,3,26650408983
3,2,4,4,3,3,4,D8284C3B2D2C
1,1,1,1,1,1,1,857574FE9711
1,1,1,1,1,1,1,24DAF94F0A18
3,3,4,3,2,4,4,4C3AFB55C4F7
2,1,3,3,2,2,3,C5784E7398EC
3,2,4,4,3,4,4,1703E46B4DC9
2,1,3,3,2,4,4,AFBC394080FC
2,2,3,3,2,2,3,7A2F7AAFA6C8
3,2,4,3,2,3,4,8BF621177FB3
2,1,2,3,2,1,2,8399BA1DF44B
2,1,3,2,2,1,2,13AB4CC7F80F
2,1,3,4,2,3,3,A055576C0F9E
2,1,2,2,1,2,2,AC7AB280A93C
2,1,3,3,2,2,4,702A25E4B218
3,2,4,4,3,4,4,211699D25472
2,2,3,2,2,2,3,CFBD5DD8ECFD
3,2,4,4,3,4,4,134937CE445C
3,2,4,4,3,4,4,17FC8F322225
3,2,4,3,2,3,4,5E3EA4C47C9A
3,3,4,3,2,4,4,22F571F54234
3,2,4,3,2,3,4,BC4A0CFD6CAF
3,2,4,4,3,3,4,CD586C88F4F3
2,1,2,2,1,2,3,3F12BC08B53F
2,1,2,3,1,2,3,DC1271D1294D
2,1,2,2,1,2,3,663149D85F9C
2,2,3,2,2,2,4,4E3FEE69D23E
2,2,3,2,2,2,4,D579D6F26A91
3,2,4,4,3,4,4,B1C43F31DAA7
2,1,2,3,2,2,4,B385E5EE33B9
3,2,4,3,2,3,4,65975436BE5C
1,1,1,1,1,1,1,27DBD975EC8E
1,1,1,1,1,1,1,B0AA5045D915
3,2,4,4,3,4,4,2B63A9B12B5B
2,1,3,3,2,2,4,03FDC60BE33B
2,2,3,3,2,1,2,E22F1FD54169
2,1,2,2,1,2,2,08D8232F2D78
2,2,3,3,1,4,3,0C1EDBE2EEC3
1,1,1,1,1,1,1,0F706EB152E7
1,1,1,1,1,1,1,1F8441914809
2,1,1,3,2,2,2,8650DDFD974B
2,1,1,2,1,1,1,991748F8ED61
2,1,4,3,2,3,4,01D8970208A9
3,2,4,3,2,3,4,F6C88F801A8A
