overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
4,4,4,4,4,4,4,F7DC6C783239
4,3,2,2,1,0,0,744C96D9BE0B
5,5,5,5,5,5,5,6FBD476D8AC9
5,4,3,4,4,4,4,4A3A73608D0E
5,4,3,2,2,2,3,4994A639ED75
4,3,2,4,2,3,3,D185087926CD
4,3,2,4,3,3,3,6AA75E61D3C1
4,5,4,5,4,4,4,78303F7A5AB0
4,3,4,3,3,4,3,7F0B7DDE89B2
4,3,3,3,3,3,3,C7BD62EA392F
4,3,2,3,2,2,1,0A67029FA17C
5,5,5,5,5,5,5,38E03AE14C78
4,3,2,2,1,1,0,B558AFC603D4
4,4,4,4,4,4,4,918C1880FCD8
4,3,2,3,2,2,2,B6E9E12159E3
4,3,2,2,2,2,2,8B155840CA6D
4,4,4,3,3,3,2,BF267B42A2A4
4,3,2,4,3,2,3,56E188D44884
5,5,5,5,5,5,5,29595ADA257B
4,3,2,2,0,0,0,E4C49D70C330
4,3,2,2,1,2,0,3EEB66F3630C
5,4,3,4,2,0,3,C0BC39F655F9
4,3,2,3,2,2,1,253B2D521F14
4,3,2,2,1,0,2,A0C5D3BB735F
4,4,3,3,2,3,0,FBC269A9D3AE
5,5,5,5,5,5,5,41AEF2D0D03E
4,3,2,3,3,2,2,44C1594D0950
5,4,3,4,2,2,3,DE962FEDCD9E
4,3,2,3,2,2,2,40788D50B102
4,3,2,3,3,3,0,17C7C1CAF7E8
4,3,2,3,2,3,0,9E4E221D8419
5,4,4,4,3,3,2,506A69171959
4,3,2,3,2,3,2,4D35A86F4929
4,3,2,2,2,2,0,112B891A4F41
4,3,2,2,2,2,2,71A9098715EB
4,3,2,4,3,2,2,87E3F6FDAA68
4,3,2,4,3,3,4,ADFE2CDB6FF1
4,3,2,2,1,0,2,83FD2977A14D
4,3,2,3,2,2,3,8C5BF0347F87
4,3,2,3,2,2,3,0CFDDC1CF75A
4,3,2,3,2,2,2,3DB503D247B3
5,4,4,3,2,4,2,56AC4BE71C2F
5,5,5,5,5,5,5,85E3C840FCBF
4,5,4,4,4,4,4,1D9F4510A90B
5,4,3,2,3,3,3,74FF4379012C
4,3,2,3,3,3,2,D5202DF530D1
5,4,3,4,2,0,0,642E44E8DD25
4,5,5,5,5,5,5,5E32A7855A7F
4,3,2,3,3,3,3,4032ED0063E4
4,3,2,2,2,0,0,2C9EA803FF3A
5,5,5,5,5,5,5,10DA9316D02D
4,3,2,4,3,2,3,25130AAA9552
4,3,2,3,2,3,2,1151BAA93780
4,4,3,2,3,3,4,63146C2EA477
4,3,3,4,4,3,4,23F0ABEF8370
3,2,4,3,3,2,3,0F9DDF417CDA
4,3,3,4,4,4,4,871097AE113C
4,3,2,3,0,0,0,C27C72D6E208
3,3,3,3,3,3,3,90978A2F8599
4,4,4,3,3,3,2,83FEB27FD31E
4,3,2,3,2,3,2,8B1F8FCC9E56
4,3,2,3,3,2,2,A2BA5F95C077
5,4,4,4,4,4,4,E8C554B25F19
4,3,2,4,2,3,3,9B5E142C63AC
4,3,2,4,3,3,2,8EE0540E163D
5,4,3,5,2,3,0,68C346DDE213
4,3,4,3,3,4,3,D99C71A15BA0
4,3,2,3,2,3,3,14B667544F4E
5,4,4,4,4,4,4,2DA1C5338C78
5,3,2,4,2,3,3,8B1883B7393C
5,4,3,5,2,3,0,5E830B6462DB
5,4,4,3,3,2,0,669A736CF0B4
5,4,4,3,2,3,4,24008FFDB479
4,4,3,4,3,2,3,60623DB5DE7A
4,3,2,4,2,2,3,BD9FE34E4670
5,4,3,3,2,0,2,8C8B11C308CF
4,3,2,3,2,0,2,5EE6F7530113
4,3,2,4,2,2,2,76C2E20AF20E
4,3,2,3,2,2,0,46977B27324C
5,4,3,4,2,2,2,AA03F87A4A75
3,2,0,4,1,2,0,02A7A3AFFBD5
4,3,2,3,2,3,2,907FC59841EC
4,3,3,2,2,2,2,E52BA6E4D7EE
5,5,5,5,5,5,5,E3DBC3B092A7
5,4,3,4,2,2,0,12E3D52345C6
3,4,2,4,0,2,0,51A7C4616A18
5,4,3,4,2,3,2,04FA62C5F269
3,4,2,2,3,3,3,C537E278BAE6
5,4,4,3,3,4,4,34E9C436DECE
5,5,5,5,5,5,5,52D244740799
4,3,2,4,2,2,1,916C937AF222
4,3,2,3,3,2,2,A9A0D8CE21B4
4,4,2,4,4,3,3,219E44AA7948
5,4,3,5,2,3,0,507FAD8DAFB0
5,4,3,2,1,1,1,F5EA98F42452
5,5,5,5,5,5,5,CD506B5747F7
5,4,3,4,2,0,0,7D1825E2F4AD
5,4,4,4,4,4,3,4F5775B0B88D
4,3,2,3,2,3,3,A85F9CF7691D
5,4,5,5,5,5,5,EFB208F9EF60
5,5,5,5,5,5,5,AE6AE119B52F
3,2,2,4,1,2,2,4E8ED336CF7E
5,5,5,5,5,5,5,111443A063CE
5,4,3,4,2,3,0,1B2274161889
4,3,2,3,3,2,3,5C9B1FB411EB
4,3,2,3,2,3,0,9213A16C1A0A
5,4,2,3,2,0,1,FC9DA73D1EA0
5,4,3,2,2,3,0,EBEFF43F46EE
5,4,3,4,3,3,2,E78C1D3328E3
4,4,4,4,4,4,4,3B81809AA132
5,5,5,5,5,5,5,14ED79D68BC4
5,4,4,4,4,4,4,2A426B89E8C5
5,4,3,5,2,2,4,67F6FEDD7677
4,3,2,4,2,3,0,C2DCF6EED519
5,5,5,5,5,5,5,16BE136AB3A7
4,3,2,3,2,2,2,C3D8BAA89C4F
4,3,2,3,2,2,2,4FD2B58768E2
4,3,2,3,2,3,2,6D9728CB8711
5,4,3,2,2,2,0,253108CDC69F
5,4,3,4,2,0,0,19692639977E
5,4,5,5,5,5,5,6ED616EC6B00
4,4,4,4,4,4,4,34D76C62269C
4,3,2,4,3,2,3,9FFDCC21CAA0
4,3,3,3,3,3,3,BC227A70B60E
5,4,4,4,3,4,4,6F63F3BCD18D
4,3,3,2,3,3,3,E2A60C034849
5,5,5,5,5,5,5,D5C7212A31FD
4,3,2,4,0,2,0,80172B0A969C
4,3,2,4,2,3,0,A0B58CDB939A
4,3,2,4,3,3,3,DDD24AF9146F
4,3,2,4,2,3,0,858DFA7A9980
5,5,5,5,5,5,5,109CBA5203BB
4,3,2,3,3,3,3,6AB122D640E1
4,3,2,4,3,2,2,9EBCC1131B13
5,4,3,3,2,2,3,9551DA943B01
5,5,5,5,5,5,5,9CB6D9467227
4,3,2,3,3,3,3,B37D0A9D7859
4,3,2,2,0,1,0,AF7DB5739529
4,3,2,3,2,3,4,07A4DAFDE5B7
4,3,2,3,2,3,3,AF6A4C253262
4,3,2,4,3,3,3,269101ABF266
5,5,5,5,5,5,5,CB13841D09DF
5,4,3,2,2,0,0,2E6495FC2C72
5,4,3,4,2,3,0,CB769FAD1A51
4,3,2,2,0,0,0,F48D7BBAF52D
3,2,4,3,4,2,3,593E2802E27C
5,5,5,5,5,5,5,F934542997DC
4,3,2,3,2,2,0,A6745A8EE7AF
4,3,2,2,0,1,0,1A69B2FC1200
4,3,2,2,0,2,0,8311ABD30CC1
4,3,2,2,3,0,0,591B7E3E2B40
5,5,5,5,5,5,5,1D327ADD95AA
4,3,2,3,2,2,2,7B557B2F27CE
4,3,3,2,2,2,2,5086E20438E9
4,3,2,3,2,3,2,D25868F1C5C3
4,3,2,3,2,2,3,F1BB39C5E549
4,3,2,4,3,3,3,471C6119911D
4,3,2,3,2,2,2,10490469631A
5,5,5,5,5,5,5,EC719533AB43
4,3,2,3,3,2,3,4B0F6070B45A
5,5,5,5,5,5,5,A1A83A14B53F
4,3,2,4,2,3,2,BE4764F7BFF1
4,3,2,3,3,3,3,76BC1CB29C1E
4,3,2,3,0,1,2,CA6EBB87D7FF
4,4,4,3,3,2,3,4BE3F5DCD6C9
5,4,3,2,3,4,4,87692B9A8184
4,3,2,4,3,2,2,AA7B4CC7EE1B
4,3,2,3,3,2,2,B46E31AA2653
4,3,2,3,2,3,2,60EAF2CDEB66
4,3,2,4,2,0,0,3F4A9ACFEDFB
4,4,3,4,2,2,0,AA9429AD1038
4,3,2,3,2,3,2,759E0659FF69
4,3,2,3,2,0,1,681B9CD21B07
4,3,2,3,2,3,2,ABB6A19842F1
4,3,2,3,3,3,3,6B20E9C115AF
1,3,2,4,0,2,2,ED9C6EDC5601
4,3,2,3,2,1,0,C1D243FAE6FF
5,4,4,5,4,4,4,36311D8E825C
5,4,3,2,3,2,1,0ACB3F8B9DF8
5,4,3,4,2,2,3,F12FEB0FE5B6
5,5,5,5,5,5,5,CEACA9EC34F8
4,3,2,3,2,2,2,1B981E7E59C5
4,3,2,2,2,2,2,73268F15F18B
4,3,2,3,2,3,0,38CADC812CBA
4,3,2,3,2,2,0,9D3EE733AE65
3,4,2,3,3,3,0,9F979C691167
4,3,2,2,2,2,2,26650408983
5,5,5,5,5,5,5,D8284C3B2D2C
4,3,2,2,0,0,0,857574FE9711
4,3,3,3,3,3,3,24DAF94F0A18
4,3,3,3,2,3,2,4C3AFB55C4F7
4,3,2,4,3,3,4,C5784E7398EC
5,4,3,2,2,0,0,1703E46B4DC9
5,5,5,5,5,5,5,AFBC394080FC
4,3,2,3,3,2,3,7A2F7AAFA6C8
5,4,3,2,3,2,0,8BF621177FB3
5,5,5,5,5,5,5,8399BA1DF44B
4,3,2,3,2,2,3,13AB4CC7F80F
4,3,2,3,2,0,0,A055576C0F9E
5,4,3,2,0,0,2,AC7AB280A93C
4,3,2,4,3,4,2,702A25E4B218
4,3,2,3,2,3,3,211699D25472
5,5,5,5,5,5,5,CFBD5DD8ECFD
4,3,2,2,2,2,2,134937CE445C
4,3,2,3,3,2,2,17FC8F322225
5,4,3,5,4,2,3,5E3EA4C47C9A
4,3,2,2,0,0,0,22F571F54234
4,3,2,3,2,2,0,BC4A0CFD6CAF
5,4,3,2,2,0,0,CD586C88F4F3
4,3,2,3,2,3,2,3F12BC08B53F
4,4,3,2,2,0,0,DC1271D1294D
5,5,5,5,5,5,5,663149D85F9C
5,5,5,5,5,5,5,4E3FEE69D23E
4,3,2,4,2,2,0,D579D6F26A91
4,3,2,3,2,3,2,B1C43F31DAA7
5,4,3,4,3,2,2,B385E5EE33B9
5,4,3,4,2,3,0,65975436BE5C
4,5,4,5,4,5,4,27DBD975EC8E
4,3,2,3,2,2,0,B0AA5045D915
4,3,2,3,3,2,2,2B63A9B12B5B
5,4,3,4,2,4,4,03FDC60BE33B
3,2,2,4,2,2,2,E22F1FD54169
5,4,3,4,2,2,3,08D8232F2D78
5,5,5,5,5,5,5,0C1EDBE2EEC3
4,3,3,4,3,3,3,0F706EB152E7
5,4,4,3,2,2,3,1F8441914809
5,4,3,2,0,1,0,8650DDFD974B
3,4,3,2,3,3,3,991748F8ED61
5,5,5,5,5,5,5,01D8970208A9
4,3,4,3,4,3,4,F6C88F801A8A
