overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
3,2,4,3,2,4,3,A9A0D8CE21B4
4,4,4,4,4,4,4,219E44AA7948
4,3,3,2,2,3,3,507FAD8DAFB0
4,3,4,2,3,4,3,F5EA98F42452
3,2,4,3,2,4,3,CD506B5747F7
4,3,3,2,3,4,4,7D1825E2F4AD
3,2,4,4,4,5,5,4F5775B0B88D
4,3,2,3,3,4,4,A85F9CF7691D
4,4,4,4,4,4,4,EFB208F9EF60
3,2,4,4,3,4,3,AE6AE119B52F
3,2,4,2,2,3,3,4E8ED336CF7E
2,3,3,3,3,4,4,111443A063CE
4,3,2,3,3,3,4,1B2274161889
4,3,3,2,2,3,4,5C9B1FB411EB
4,3,2,2,3,4,4,9213A16C1A0A
3,2,4,3,3,4,4,FC9DA73D1EA0
4,3,4,4,2,4,4,EBEFF43F46EE
4,3,4,3,3,4,4,E78C1D3328E3
4,4,4,4,4,4,4,3B81809AA132
4,3,2,3,2,3,4,14ED79D68BC4
4,4,4,4,4,4,4,2A426B89E8C5
3,2,4,3,3,4,4,67F6FEDD7677
4,3,2,3,3,3,4,C2DCF6EED519
4,3,3,2,2,4,4,16BE136AB3A7
4,3,4,4,4,4,4,C3D8BAA89C4F
4,2,3,3,3,4,3,4FD2B58768E2
4,3,2,4,4,3,4,6D9728CB8711
3,2,4,3,3,4,4,253108CDC69F
4,3,4,4,4,4,4,19692639977E
4,4,4,4,4,4,4,6ED616EC6B00
3,3,3,3,3,3,3,34D76C62269C
4,3,4,4,3,4,4,9FFDCC21CAA0
4,3,4,3,3,4,4,BC227A70B60E
4,3,4,4,2,4,4,6F63F3BCD18D
4,3,2,3,3,4,4,E2A60C034849
3,3,4,4,4,4,4,D5C7212A31FD
4,3,2,3,2,3,3,80172B0A969C
4,3,2,3,3,4,4,A0B58CDB939A
4,3,4,3,2,4,3,DDD24AF9146F
3,2,4,4,4,4,4,858DFA7A9980
4,3,3,3,3,4,4,109CBA5203BB
4,3,3,2,3,3,3,6AB122D640E1
4,3,3,2,3,4,3,9EBCC1131B13
4,3,4,2,3,4,4,9551DA943B01
4,3,3,2,2,3,3,9CB6D9467227
4,3,2,3,2,4,4,B37D0A9D7859
3,2,4,3,3,4,4,AF7DB5739529
4,4,4,4,4,4,4,07A4DAFDE5B7
4,3,3,2,2,4,3,AF6A4C253262
4,3,4,4,4,4,4,269101ABF266
4,3,4,4,2,4,4,CB13841D09DF
3,2,4,4,3,4,4,2E6495FC2C72
4,3,4,4,3,4,4,CB769FAD1A51
4,3,4,4,4,4,4,F48D7BBAF52D
3,2,4,2,2,4,4,593E2802E27C
4,2,4,3,2,4,4,F934542997DC
4,3,2,3,4,3,4,A6745A8EE7AF
4,3,4,3,2,4,4,1A69B2FC1200
4,3,2,3,3,3,3,8311ABD30CC1
4,3,4,4,2,4,4,591B7E3E2B40
4,3,4,4,3,4,4,1D327ADD95AA
4,4,4,3,2,4,4,7B557B2F27CE
4,3,2,3,2,3,4,5086E20438E9
3,2,4,3,2,4,4,D25868F1C5C3
4,3,2,2,2,3,3,F1BB39C5E549
4,3,3,3,2,3,4,471C6119911D
4,3,4,4,3,4,4,10490469631A
4,3,3,4,4,4,4,EC719533AB43
4,3,2,2,2,2,2,4B0F6070B45A
4,3,2,3,2,4,4,A1A83A14B53F
3,3,4,3,3,4,4,BE4764F7BFF1
4,3,4,4,4,4,4,76BC1CB29C1E
4,3,4,4,4,4,4,CA6EBB87D7FF
3,2,4,4,4,4,4,4BE3F5DCD6C9
3,2,4,4,4,4,4,87692B9A8184
3,2,4,2,3,4,4,AA7B4CC7EE1B
4,3,2,3,3,4,4,B46E31AA2653
4,3,4,4,2,4,4,60EAF2CDEB66
3,2,4,2,2,4,4,3F4A9ACFEDFB
3,2,4,3,3,4,4,AA9429AD1038
3,2,4,3,3,4,4,759E0659FF69
2,3,4,2,4,4,3,681B9CD21B07
4,3,4,3,3,4,4,ABB6A19842F1
4,3,4,2,3,4,4,6B20E9C115AF
3,2,4,3,2,4,4,ED9C6EDC5601
4,3,2,2,2,2,2,C1D243FAE6FF
4,4,4,4,2,4,4,36311D8E825C
3,2,4,3,3,4,3,0ACB3F8B9DF8
4,3,4,4,3,4,4,F12FEB0FE5B6
4,3,3,2,3,4,4,CEACA9EC34F8
4,3,2,2,2,3,3,1B981E7E59C5
4,3,4,4,2,4,4,73268F15F18B
4,3,2,4,4,4,4,38CADC812CBA
4,3,2,4,3,3,4,9D3EE733AE65
2,2,3,4,2,3,4,9F979C691167
3,2,4,3,2,4,3,26650408983
4,3,4,4,2,4,4,D8284C3B2D2C
4,2,3,4,4,4,5,857574FE9711
4,3,4,3,3,4,4,24DAF94F0A18
4,3,4,4,4,4,4,4C3AFB55C4F7
3,2,4,4,2,4,4,C5784E7398EC
4,3,3,2,3,4,4,1703E46B4DC9
4,3,4,4,2,4,4,AFBC394080FC
4,3,2,4,4,3,4,7A2F7AAFA6C8
4,3,3,4,3,4,3,8BF621177FB3
4,3,2,2,3,4,4,8399BA1DF44B
4,3,4,4,4,4,4,13AB4CC7F80F
3,2,4,3,2,4,4,A055576C0F9E
3,2,4,4,3,4,4,AC7AB280A93C
4,3,4,4,2,4,4,702A25E4B218
4,3,2,3,2,3,4,211699D25472
4,4,4,4,4,4,4,CFBD5DD8ECFD
4,3,4,3,2,4,4,134937CE445C
4,3,4,3,2,4,4,17FC8F322225
4,3,4,4,3,4,4,5E3EA4C47C9A
3,2,4,4,2,3,4,22F571F54234
3,2,4,3,3,4,4,BC4A0CFD6CAF
3,4,4,2,4,4,4,CD586C88F4F3
3,2,4,3,3,4,4,3F12BC08B53F
4,3,2,4,4,4,5,DC1271D1294D
4,3,4,2,4,4,4,663149D85F9C
4,3,3,3,3,3,4,4E3FEE69D23E
4,3,4,2,2,4,4,D579D6F26A91
4,3,2,3,3,3,4,B1C43F31DAA7
4,3,4,3,2,4,4,B385E5EE33B9
4,3,4,3,2,4,4,65975436BE5C
4,4,4,4,4,4,4,27DBD975EC8E
4,3,3,2,3,3,3,B0AA5045D915
4,3,2,3,3,4,4,2B63A9B12B5B
4,3,3,3,2,3,3,03FDC60BE33B
4,3,4,4,2,4,4,E22F1FD54169
4,3,3,2,2,3,3,08D8232F2D78
4,3,4,4,2,4,4,0C1EDBE2EEC3
4,3,4,4,4,4,4,0F706EB152E7
4,3,2,2,2,3,4,1F8441914809
4,3,3,3,2,3,4,8650DDFD974B
4,3,4,2,3,4,4,991748F8ED61
4,3,4,4,2,4,4,01D8970208A9
4,3,4,4,4,4,4,F6C88F801A8A
