overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
2,1,1,1,1,1,1,AAF5D100E836
1,1,1,1,1,1,1,E0B86027C5C5
2,1,2,2,1,1,1,4CFAF19AF547
2,1,1,2,1,1,1,7DC02C918305
3,2,3,2,1,2,2,3EE4C10E9149
2,1,1,1,1,1,1,9B4C52064991
2,2,2,2,1,1,1,830CCF8E0B23
2,1,1,1,1,1,1,366725B151D7
2,2,2,2,1,1,1,6CB31DED1BF0
2,1,1,1,1,1,1,A3C8FABB8B29
2,1,1,1,1,1,1,20E194B18D0E
1,1,1,1,1,1,1,CB0BF6DDF9B7
3,2,3,3,2,2,2,29BB45AA907C
1,1,1,1,1,1,1,0757FE18DBAA
2,1,2,1,1,1,1,98D8FF9E3C56
1,1,1,1,1,1,1,314E6ED40C6A
1,1,1,1,1,1,1,B39F335086FB
2,2,3,2,1,2,1,DE54A8F9C29C
2,1,1,1,1,1,1,F7DC6C783239
2,2,2,2,1,1,1,744C96D9BE0B
1,1,1,1,1,1,1,6FBD476D8AC9
2,1,1,1,1,1,1,4A3A73608D0E
2,2,2,2,1,1,1,4994A639ED75
1,1,1,1,1,1,1,D185087926CD
2,1,1,1,1,1,1,6AA75E61D3C1
2,1,1,1,1,1,1,78303F7A5AB0
1,1,1,1,1,1,1,7F0B7DDE89B2
2,1,1,1,1,1,1,C7BD62EA392F
1,1,1,1,1,1,1,0A67029FA17C
2,1,1,2,1,1,1,38E03AE14C78
2,1,1,2,1,1,1,B558AFC603D4
2,2,2,2,1,1,1,918C1880FCD8
2,1,1,1,1,1,1,B6E9E12159E3
3,2,3,3,2,2,2,8B155840CA6D
2,1,1,1,1,1,1,BF267B42A2A4
1,1,1,1,1,1,1,56E188D44884
2,1,1,1,1,1,1,29595ADA257B
2,2,3,2,1,2,1,E4C49D70C330
2,1,1,1,1,1,1,3EEB66F3630C
2,2,3,2,1,1,1,C0BC39F655F9
2,1,1,2,1,1,1,253B2D521F14
2,2,3,2,1,2,1,A0C5D3BB735F
2,1,1,1,1,1,1,FBC269A9D3AE
1,1,1,1,1,1,1,41AEF2D0D03E
2,2,2,2,1,1,1,44C1594D0950
2,1,1,1,1,1,1,DE962FEDCD9E
1,1,1,1,1,1,1,40788D50B102
2,1,1,1,1,1,1,17C7C1CAF7E8
2,1,2,1,1,1,1,9E4E221D8419
1,1,1,1,1,1,1,506A69171959
2,1,1,1,1,1,1,4D35A86F4929
1,1,1,1,1,1,1,112B891A4F41
2,1,2,2,1,1,1,71A9098715EB
2,1,1,1,1,1,1,87E3F6FDAA68
1,1,1,1,1,1,1,ADFE2CDB6FF1
2,2,2,2,1,1,1,83FD2977A14D
2,2,2,2,1,1,1,8C5BF0347F87
1,1,1,1,1,1,1,0CFDDC1CF75A
2,1,1,1,1,1,1,3DB503D247B3
1,1,1,1,1,1,1,56AC4BE71C2F
2,1,1,1,1,1,1,85E3C840FCBF
2,1,1,1,1,1,1,1D9F4510A90B
3,2,3,3,2,3,2,74FF4379012C
2,2,2,1,1,1,1,D5202DF530D1
1,1,1,1,1,1,1,642E44E8DD25
2,1,1,1,1,1,1,5E32A7855A7F
2,2,1,2,1,1,1,4032ED0063E4
2,1,1,2,1,1,1,2C9EA803FF3A
1,1,1,1,1,1,1,10DA9316D02D
1,1,1,1,1,1,1,25130AAA9552
2,1,1,2,1,1,1,1151BAA93780
1,1,1,1,1,1,1,63146C2EA477
1,1,1,1,1,1,1,23F0ABEF8370
2,1,1,1,1,1,1,0F9DDF417CDA
1,1,1,1,1,1,1,871097AE113C
2,1,1,2,1,1,1,C27C72D6E208
1,1,1,1,1,1,1,90978A2F8599
2,1,1,2,1,1,1,83FEB27FD31E
1,1,1,1,1,1,1,8B1F8FCC9E56
2,1,1,1,1,1,1,A2BA5F95C077
1,1,1,1,1,1,1,E8C554B25F19
2,1,2,2,1,1,1,9B5E142C63AC
1,1,1,1,1,1,1,8EE0540E163D
2,2,3,3,2,2,2,68C346DDE213
2,1,1,1,1,1,1,D99C71A15BA0
2,1,1,1,1,1,1,14B667544F4E
2,1,1,2,1,1,1,2DA1C5338C78
3,2,3,3,2,2,2,8B1883B7393C
2,1,1,1,1,1,1,5E830B6462DB
2,2,2,2,1,1,1,669A736CF0B4
2,2,2,2,1,1,1,24008FFDB479
2,2,2,2,1,1,1,60623DB5DE7A
2,1,1,1,1,1,1,BD9FE34E4670
1,1,1,1,1,1,1,8C8B11C308CF
2,1,1,1,1,1,1,5EE6F7530113
2,1,1,2,1,1,1,76C2E20AF20E
2,2,3,2,1,1,1,46977B27324C
1,1,1,1,1,1,1,AA03F87A4A75
2,1,1,2,1,1,1,02A7A3AFFBD5
1,1,1,1,1,1,1,907FC59841EC
1,1,1,1,1,1,1,E52BA6E4D7EE
1,1,1,1,1,1,1,E3DBC3B092A7
3,2,3,3,2,2,2,12E3D52345C6
1,1,1,1,1,1,1,51A7C4616A18
1,1,1,1,1,1,1,04FA62C5F269
1,1,1,1,1,1,1,C537E278BAE6
1,1,1,1,1,1,1,34E9C436DECE
1,1,1,1,1,1,1,52D244740799
2,2,2,1,1,1,1,916C937AF222
2,1,1,1,1,1,1,A9A0D8CE21B4
2,1,1,1,1,1,1,219E44AA7948
1,1,1,1,1,1,1,507FAD8DAFB0
2,1,1,2,1,1,1,F5EA98F42452
1,1,1,1,1,1,1,CD506B5747F7
2,1,1,1,1,1,1,7D1825E2F4AD
2,1,1,1,1,1,1,4F5775B0B88D
1,1,1,1,1,1,1,A85F9CF7691D
1,1,1,1,1,1,1,EFB208F9EF60
2,2,2,2,1,1,1,AE6AE119B52F
1,1,1,1,1,1,1,4E8ED336CF7E
2,1,2,1,1,1,1,111443A063CE
2,1,2,2,1,1,1,1B2274161889
2,1,1,1,1,1,1,5C9B1FB411EB
1,1,1,1,1,1,1,9213A16C1A0A
1,1,1,1,1,1,1,FC9DA73D1EA0
2,2,2,3,1,1,1,EBEFF43F46EE
1,1,1,1,1,1,1,E78C1D3328E3
2,1,1,1,1,1,1,3B81809AA132
1,1,1,1,1,1,1,14ED79D68BC4
1,1,1,1,1,1,1,2A426B89E8C5
1,1,1,1,1,1,1,67F6FEDD7677
2,1,1,1,1,1,1,C2DCF6EED519
1,1,1,1,1,1,1,16BE136AB3A7
2,1,1,2,1,1,1,C3D8BAA89C4F
1,1,1,1,1,1,1,4FD2B58768E2
2,1,1,1,1,1,1,6D9728CB8711
1,1,1,1,1,1,1,253108CDC69F
2,1,1,1,1,1,1,19692639977E
1,1,1,1,1,1,1,6ED616EC6B00
2,2,2,2,1,1,1,34D76C62269C
2,1,1,1,1,1,1,9FFDCC21CAA0
2,1,1,2,1,1,1,BC227A70B60E
2,1,1,1,1,1,1,6F63F3BCD18D
1,1,1,1,1,1,1,E2A60C034849
1,1,1,1,1,1,1,D5C7212A31FD
1,1,1,1,1,1,1,80172B0A969C
1,1,1,1,1,1,1,A0B58CDB939A
2,2,1,2,1,1,1,DDD24AF9146F
2,2,2,2,1,1,1,858DFA7A9980
3,2,3,3,2,2,3,109CBA5203BB
2,1,1,1,1,1,1,6AB122D640E1
2,2,2,2,1,1,1,9EBCC1131B13
2,1,2,2,1,1,1,9551DA943B01
2,1,1,1,1,1,1,9CB6D9467227
2,1,2,2,1,1,1,B37D0A9D7859
2,2,2,2,1,1,1,AF7DB5739529
2,1,1,2,1,1,1,07A4DAFDE5B7
2,1,1,1,1,1,1,AF6A4C253262
2,1,1,1,1,1,1,269101ABF266
2,1,1,2,1,1,1,CB13841D09DF
1,1,1,1,1,1,1,2E6495FC2C72
2,2,2,2,1,1,1,CB769FAD1A51
2,2,1,1,1,1,1,F48D7BBAF52D
1,1,1,1,1,1,1,593E2802E27C
2,1,1,1,1,1,1,F934542997DC
2,1,1,1,1,1,1,A6745A8EE7AF
1,1,1,1,1,1,1,1A69B2FC1200
2,1,1,1,1,1,1,8311ABD30CC1
2,1,1,1,1,1,1,591B7E3E2B40
2,2,3,3,2,1,1,1D327ADD95AA
2,1,1,2,1,1,1,7B557B2F27CE
1,1,1,1,1,1,1,5086E20438E9
2,1,2,1,1,1,1,D25868F1C5C3
1,1,1,1,1,1,1,F1BB39C5E549
2,1,1,1,1,1,1,471C6119911D
2,2,2,2,1,1,1,10490469631A
1,1,1,1,1,1,1,EC719533AB43
2,2,1,1,1,1,1,4B0F6070B45A
2,1,1,2,1,1,1,A1A83A14B53F
3,3,3,3,2,3,3,BE4764F7BFF1
1,1,1,1,1,1,1,76BC1CB29C1E
2,1,1,1,1,1,1,CA6EBB87D7FF
2,1,1,1,1,1,1,4BE3F5DCD6C9
2,2,2,2,1,1,1,87692B9A8184
2,1,1,2,1,1,1,AA7B4CC7EE1B
2,1,1,1,1,1,1,B46E31AA2653
2,1,1,2,1,1,1,60EAF2CDEB66
1,1,1,1,1,1,1,3F4A9ACFEDFB
1,1,1,1,1,1,1,AA9429AD1038
1,1,1,1,1,1,1,759E0659FF69
2,1,1,1,1,1,1,681B9CD21B07
2,2,1,2,1,1,1,ABB6A19842F1
2,1,1,2,1,1,1,6B20E9C115AF
2,1,1,2,1,1,1,ED9C6EDC5601
2,1,1,1,1,1,1,C1D243FAE6FF
2,1,1,1,1,1,1,36311D8E825C
2,1,1,1,1,1,1,0ACB3F8B9DF8
1,1,1,1,1,1,1,F12FEB0FE5B6
2,1,1,2,1,1,1,CEACA9EC34F8
2,1,1,1,1,1,1,1B981E7E59C5
2,1,1,1,1,1,1,73268F15F18B
2,1,1,1,1,1,1,38CADC812CBA
2,1,1,2,1,1,1,9D3EE733AE65
2,1,1,1,1,1,1,9F979C691167
1,1,1,1,1,1,1,26650408983
2,1,1,1,1,1,1,D8284C3B2D2C
1,1,1,1,1,1,1,857574FE9711
1,1,1,1,1,1,1,24DAF94F0A18
2,2,1,1,1,1,1,4C3AFB55C4F7
2,1,1,1,1,1,1,C5784E7398EC
2,1,1,1,1,1,1,1703E46B4DC9
2,1,1,2,1,1,1,AFBC394080FC
2,1,1,2,1,1,1,7A2F7AAFA6C8
2,1,2,2,1,1,1,8BF621177FB3
1,1,1,1,1,1,1,8399BA1DF44B
2,1,1,1,1,1,1,13AB4CC7F80F
2,1,1,1,1,1,1,A055576C0F9E
2,1,1,1,1,1,1,AC7AB280A93C
2,1,1,1,1,1,1,702A25E4B218
2,2,2,2,1,1,1,211699D25472
2,1,1,2,1,1,1,CFBD5DD8ECFD
2,1,1,2,1,1,1,134937CE445C
2,2,2,2,1,1,1,17FC8F322225
2,1,1,1,1,1,1,5E3EA4C47C9A
2,2,3,2,1,2,1,22F571F54234
2,2,3,2,1,1,1,BC4A0CFD6CAF
2,2,3,2,1,2,1,CD586C88F4F3
2,1,1,2,1,1,1,3F12BC08B53F
2,1,1,1,1,1,1,DC1271D1294D
2,1,1,1,1,1,1,663149D85F9C
1,1,1,1,1,1,1,4E3FEE69D23E
2,1,1,1,1,1,1,D579D6F26A91
2,2,2,2,1,1,1,B1C43F31DAA7
2,1,1,2,1,1,1,B385E5EE33B9
2,1,2,2,1,1,1,65975436BE5C
1,1,1,1,1,1,1,27DBD975EC8E
2,1,1,1,1,1,1,B0AA5045D915
2,1,1,2,1,1,1,2B63A9B12B5B
2,1,1,2,1,1,1,03FDC60BE33B
1,1,1,1,1,1,1,E22F1FD54169
1,1,1,1,1,1,1,08D8232F2D78
2,1,1,2,1,1,1,0C1EDBE2EEC3
2,1,1,1,1,1,1,0F706EB152E7
1,1,1,1,1,1,1,1F8441914809
1,1,1,1,1,1,1,8650DDFD974B
1,1,1,1,1,1,1,991748F8ED61
2,1,1,1,1,1,1,01D8970208A9
1,1,1,1,1,1,1,F6C88F801A8A
