essay_id,overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions
C0BC39F655F9,3,4,2,3,2,2,4
253B2D521F14,3,2,2,1,1,1,1
A0C5D3BB735F,2,2,2,1,1,1,1
FBC269A9D3AE,3,4,2,2,2,2,3
41AEF2D0D03E,2,3,1,2,2,1,2
44C1594D0950,2,3,1,2,2,1,2
DE962FEDCD9E,2,2,1,2,2,1,1
40788D50B102,2,1,1,1,1,1,1
17C7C1CAF7E8,2,1,1,1,1,1,1
9E4E221D8419,2,3,1,2,2,1,2
506A69171959,3,2,2,2,2,2,3
4D35A86F4929,2,3,1,2,2,1,1
112B891A4F41,2,2,1,2,1,1,1
71A9098715EB,3,2,2,2,2,2,2
87E3F6FDAA68,2,3,1,2,2,1,1
ADFE2CDB6FF1,2,1,1,1,1,1,1
83FD2977A14D,2,2,1,1,1,1,1
8C5BF0347F87,3,4,2,2,2,1,3
0CFDDC1CF75A,1,1,1,1,1,1,1
3DB503D247B3,2,2,1,1,1,1,1
56AC4BE71C2F,2,1,1,1,1,1,1
85E3C840FCBF,2,2,2,1,1,1,1
1D9F4510A90B,3,4,2,2,2,2,3
74FF4379012C,3,4,3,2,2,2,4
D5202DF530D1,2,3,1,2,2,1,2
642E44E8DD25,2,2,1,1,1,1,1
5E32A7855A7F,2,2,1,1,1,1,1
4032ED0063E4,2,3,1,2,1,1,2
2C9EA803FF3A,2,3,2,1,1,1,1
10DA9316D02D,2,3,1,2,2,1,1
25130AAA9552,2,2,1,1,1,1,1
1151BAA93780,3,2,2,2,2,2,2
63146C2EA477,1,1,1,1,1,1,1
23F0ABEF8370,2,3,1,1,1,1,1
0F9DDF417CDA,2,2,1,2,1,1,1
871097AE113C,2,1,1,1,1,1,1
C27C72D6E208,4,4,3,3,3,3,4
90978A2F8599,2,2,1,1,1,1,2
83FEB27FD31E,2,3,1,1,1,1,1
8B1F8FCC9E56,2,2,1,1,1,1,1
A2BA5F95C077,2,2,2,2,2,1,1
E8C554B25F19,2,2,1,1,1,1,1
9B5E142C63AC,3,3,2,2,2,2,3
8EE0540E163D,2,2,1,1,1,1,1
68C346DDE213,2,3,2,1,1,1,1
D99C71A15BA0,3,2,2,1,1,2,1
14B667544F4E,2,2,1,1,1,1,1
2DA1C5338C78,3,2,2,1,1,2,2
8B1883B7393C,3,4,3,2,2,2,3
5E830B6462DB,2,3,1,2,2,1,1
669A736CF0B4,3,4,2,3,2,2,3
24008FFDB479,2,2,1,1,1,1,1
60623DB5DE7A,2,3,1,2,2,1,2
BD9FE34E4670,3,2,2,2,2,2,2
8C8B11C308CF,2,2,1,2,2,1,2
5EE6F7530113,2,3,2,2,2,2,3
76C2E20AF20E,3,4,2,2,2,3,4
46977B27324C,3,4,3,2,3,3,3
AA03F87A4A75,2,3,1,2,1,1,1
02A7A3AFFBD5,2,2,1,2,2,1,2
907FC59841EC,2,2,1,1,1,1,1
E52BA6E4D7EE,2,3,2,2,2,2,2
E3DBC3B092A7,1,1,1,1,1,1,1
12E3D52345C6,4,5,4,3,4,3,5
51A7C4616A18,1,1,1,1,1,1,1
04FA62C5F269,2,2,1,1,1,1,1
C537E278BAE6,2,2,2,2,1,2,3
34E9C436DECE,2,2,2,1,1,1,1
52D244740799,2,2,2,1,1,1,1
916C937AF222,2,3,2,2,2,2,3
A9A0D8CE21B4,2,3,1,1,1,1,1
219E44AA7948,2,2,1,2,1,1,1
507FAD8DAFB0,2,1,1,1,1,1,1
F5EA98F42452,2,2,1,2,1,1,1
CD506B5747F7,2,2,1,1,1,1,1
7D1825E2F4AD,2,3,1,2,2,1,1
4F5775B0B88D,2,2,1,1,1,1,1
A85F9CF7691D,2,2,1,1,1,1,1
EFB208F9EF60,2,3,2,2,2,1,1
AE6AE119B52F,3,2,1,2,2,2,2
4E8ED336CF7E,2,2,1,1,1,1,1
111443A063CE,2,3,1,2,1,1,1
1B2274161889,2,2,1,1,1,1,1
5C9B1FB411EB,2,3,2,1,1,1,2
9213A16C1A0A,2,1,1,1,1,1,1
FC9DA73D1EA0,2,3,1,1,1,1,1
EBEFF43F46EE,4,4,3,2,2,3,4
E78C1D3328E3,2,1,1,1,1,1,1
3B81809AA132,2,2,1,2,1,1,1
14ED79D68BC4,2,2,1,1,1,1,1
2A426B89E8C5,3,2,1,2,2,1,2
67F6FEDD7677,1,1,1,1,1,1,1
C2DCF6EED519,2,2,1,1,1,1,1
16BE136AB3A7,2,2,2,2,1,1,1
C3D8BAA89C4F,2,3,1,2,1,1,1
4FD2B58768E2,2,2,1,2,1,1,1
6D9728CB8711,2,3,1,2,2,1,3
253108CDC69F,1,1,1,1,1,1,1
19692639977E,2,2,1,1,1,1,1
6ED616EC6B00,2,2,1,1,1,1,1
34D76C62269C,2,3,2,2,2,1,2
9FFDCC21CAA0,2,3,2,2,2,1,1
BC227A70B60E,3,3,2,2,2,2,3
6F63F3BCD18D,2,3,2,2,2,1,1
E2A60C034849,2,2,2,2,2,1,1
D5C7212A31FD,2,1,1,1,1,1,1
80172B0A969C,2,2,1,1,1,1,1
A0B58CDB939A,2,2,1,1,1,1,1
DDD24AF9146F,2,3,1,2,2,1,2
858DFA7A9980,2,2,1,1,1,1,1
109CBA5203BB,3,2,3,2,2,2,3
6AB122D640E1,2,3,1,2,2,1,1
9EBCC1131B13,2,3,2,1,2,1,1
9551DA943B01,2,3,2,2,2,2,3
9CB6D9467227,2,3,2,2,2,1,1
B37D0A9D7859,3,3,2,2,2,1,2
AF7DB5739529,2,3,1,2,2,1,2
07A4DAFDE5B7,2,2,1,1,1,1,1
AF6A4C253262,2,3,1,2,2,1,2
269101ABF266,3,4,2,2,2,1,2
CB13841D09DF,2,3,2,2,2,2,3
2E6495FC2C72,2,1,1,1,1,1,1
CB769FAD1A51,3,3,2,2,2,1,1
F48D7BBAF52D,2,3,1,2,2,1,2
593E2802E27C,1,1,1,1,1,1,1
F934542997DC,2,3,1,2,2,1,1
A6745A8EE7AF,2,2,1,1,1,1,1
1A69B2FC1200,3,2,2,2,2,2,3
8311ABD30CC1,2,2,1,1,1,1,1
591B7E3E2B40,2,1,1,1,1,1,1
1D327ADD95AA,4,4,4,2,3,3,4
7B557B2F27CE,2,2,1,1,1,1,1
5086E20438E9,2,1,1,1,1,1,1
D25868F1C5C3,2,2,1,1,1,1,1
F1BB39C5E549,2,2,1,1,1,1,1
471C6119911D,3,4,2,2,2,2,4
10490469631A,3,4,2,2,2,2,3
EC719533AB43,2,3,2,2,2,1,2
4B0F6070B45A,2,2,1,1,1,1,1
A1A83A14B53F,2,1,1,1,1,1,1
BE4764F7BFF1,2,2,3,1,1,2,2
76BC1CB29C1E,2,2,1,1,1,1,1
CA6EBB87D7FF,2,1,1,2,1,1,1
4BE3F5DCD6C9,2,2,1,1,1,1,1
87692B9A8184,2,3,2,2,2,2,3
AA7B4CC7EE1B,4,3,2,2,2,2,3
B46E31AA2653,2,2,2,1,1,1,1
60EAF2CDEB66,2,3,1,2,2,1,1
3F4A9ACFEDFB,1,1,1,1,1,1,1
AA9429AD1038,2,2,1,1,1,1,1
759E0659FF69,2,2,1,1,1,1,1
681B9CD21B07,2,2,1,1,1,1,1
ABB6A19842F1,3,4,2,2,2,1,2
6B20E9C115AF,3,2,2,2,2,2,3
ED9C6EDC5601,2,3,2,2,2,1,1
C1D243FAE6FF,2,3,1,2,2,1,2
36311D8E825C,2,3,1,2,2,1,1
0ACB3F8B9DF8,2,2,2,2,2,2,3
F12FEB0FE5B6,2,2,2,1,1,1,1
CEACA9EC34F8,2,2,1,1,1,1,1
1B981E7E59C5,2,2,2,1,1,2,2
73268F15F18B,2,3,2,1,1,2,2
38CADC812CBA,2,2,1,1,1,1,1
9D3EE733AE65,3,4,3,2,3,2,4
9F979C691167,2,1,1,1,1,1,1
26650408983,2,2,1,1,1,1,1
D8284C3B2D2C,3,4,2,2,2,1,2
857574FE9711,2,2,1,1,1,1,1
24DAF94F0A18,2,2,1,1,1,1,1
4C3AFB55C4F7,3,4,2,2,2,3,4
C5784E7398EC,2,1,1,1,1,1,1
1703E46B4DC9,3,2,2,2,2,2,2
AFBC394080FC,2,2,1,1,1,1,1
7A2F7AAFA6C8,2,2,1,1,1,1,1
8BF621177FB3,2,3,2,2,2,1,2
8399BA1DF44B,2,3,1,1,1,1,1
13AB4CC7F80F,2,2,1,1,1,1,1
A055576C0F9E,2,3,1,1,1,1,1
AC7AB280A93C,,,,,,,
702A25E4B218,2,3,2,2,2,2,2
211699D25472,3,2,2,2,2,1,2
CFBD5DD8ECFD,2,3,2,2,2,2,2
134937CE445C,2,3,1,2,2,1,2
17FC8F322225,3,4,3,2,2,3,4
5E3EA4C47C9A,2,3,1,2,1,1,1
22F571F54234,3,4,4,2,3,2,4
BC4A0CFD6CAF,2,3,2,1,2,1,2
CD586C88F4F3,2,3,2,2,2,1,2
3F12BC08B53F,3,2,2,2,2,2,3
DC1271D1294D,2,2,1,1,1,1,1
663149D85F9C,2,1,1,1,1,1,1
4E3FEE69D23E,2,3,2,2,2,1,1
D579D6F26A91,2,2,1,2,2,1,1
B1C43F31DAA7,2,2,2,1,1,1,1
B385E5EE33B9,2,2,1,1,1,1,1
65975436BE5C,3,2,2,2,2,2,2
27DBD975EC8E,1,1,1,1,1,1,1
B0AA5045D915,2,3,1,2,2,1,2
2B63A9B12B5B,3,2,2,2,2,2,2
03FDC60BE33B,3,2,2,1,1,1,1
E22F1FD54169,2,2,1,1,1,1,1
08D8232F2D78,2,3,1,1,1,1,1
0C1EDBE2EEC3,3,2,2,1,2,2,2
0F706EB152E7,2,2,1,1,1,1,1
1F8441914809,2,2,1,1,1,1,1
8650DDFD974B,2,2,2,1,1,1,1
991748F8ED61,2,2,1,1,1,1,1
01D8970208A9,2,3,2,1,1,1,1
F6C88F801A8A,2,3,2,1,1,1,1
